return_cores_D17_desc;We hold provinces that D17 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D18_title;Return cores to D18;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D18_desc;We hold provinces that D18 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D19_title;Return cores to D19;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D19_desc;We hold provinces that D19 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D20_title;Return cores to D20;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D20_desc;We hold provinces that D20 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D21_title;Return cores to D21;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D21_desc;We hold provinces that D21 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D22_title;Return cores to D22;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D22_desc;We hold provinces that D22 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D23_title;Return cores to D23;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D23_desc;We hold provinces that D23 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D24_title;Return cores to D24;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D24_desc;We hold provinces that D24 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D25_title;Return cores to D25;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D25_desc;We hold provinces that D25 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D26_title;Return cores to D26;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D26_desc;We hold provinces that D26 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D27_title;Return cores to D27;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D27_desc;We hold provinces that D27 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D28_title;Return cores to D28;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D28_desc;We hold provinces that D28 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D29_title;Return cores to D29;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D29_desc;We hold provinces that D29 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D30_title;Return cores to D30;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D30_desc;We hold provinces that D30 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D31_title;Return cores to D31;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D31_desc;We hold provinces that D31 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D32_title;Return cores to D32;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D32_desc;We hold provinces that D32 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D33_title;Return cores to D33;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D33_desc;We hold provinces that D33 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D34_title;Return cores to D34;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D34_desc;We hold provinces that D34 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D35_title;Return cores to D35;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D35_desc;We hold provinces that D35 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D36_title;Return cores to D36;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D36_desc;We hold provinces that D36 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D37_title;Return cores to D37;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D37_desc;We hold provinces that D37 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D38_title;Return cores to D38;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D38_desc;We hold provinces that D38 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D39_title;Return cores to D39;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D39_desc;We hold provinces that D39 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D40_title;Return cores to D40;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D40_desc;We hold provinces that D40 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D41_title;Return cores to D41;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D41_desc;We hold provinces that D41 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D42_title;Return cores to D42;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D42_desc;We hold provinces that D42 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D43_title;Return cores to D43;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D43_desc;We hold provinces that D43 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D44_title;Return cores to D44;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D44_desc;We hold provinces that D44 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D45_title;Return cores to D45;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D45_desc;We hold provinces that D45 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D46_title;Return cores to D46;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D46_desc;We hold provinces that D46 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D47_title;Return cores to D47;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D47_desc;We hold provinces that D47 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D48_title;Return cores to D48;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D48_desc;We hold provinces that D48 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D49_title;Return cores to D49;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D49_desc;We hold provinces that D49 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D50_title;Return cores to D50;;;;;;;;;;;;;;;;;;;;x,,
return_cores_D50_desc;We hold provinces that D50 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
organize_central_asia_title;Hegemony in Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;x
organize_central_asia_desc;Our domination over the steppes is now uncontested: it is time we organize the area to better serve our needs.;;;;;;;;;;;;;;;;;;;;;;;;;x
conquest_of_red_water_title;Conquest of the coast;;;;;;;;;;;;;;;;;;;;;;;;;x
conquest_of_red_water_desc;Our control over the Turkmenia region is now complete enough that we can make our move towards the Caspian Sea by conquering the area known as Kyzyl-Su, the Red Water, before anyone else cut us there.;;;;;;;;;;;;;;;;;;;;;;;;;x
claim_artois_title;Claim Artois;;;;;;;;;;;;;;;;;;;;;;;;;x
claim_artois_desc;The comté d'Artois has traditionally been part of the Low Countries. Only during the era of foreign rule by Habsburg scum was it snatched by the King of France. As such, it is our duty to reclaim those lands back into our glorious realm, put their people to work and profit from their land!;;;;;;;;;;;;;;;;;;;;;;;;;x
rename_artois_NET_title;Artois is ours!;;;;;;;;;;;;;;;;;;;;;;;;;x
rename_artois_NET_desc;The region of Artois is finally back in $COUNTRY_ADJ$ hands! The area has been part of our rightful historical realm and this should reflect on the world's maps.;;;;;;;;;;;;;;;;;;;;;;;;;x
rename_artois_FRA_title;Artois is ours!;;;;;;;;;;;;;;;;;;;;;;;;;x
rename_artois_FRA_desc;The region of Artois is finally back in $COUNTRY_ADJ$ hands! The area has been part of our rightful historical realm and this should reflect on the world's maps.;;;;;;;;;;;;;;;;;;;;;;;;;x
build_neuschwanstein_title;The Neuschwanstein Castle;;;;;;;;;;;;;;;;;;;;;;;;;x
build_neuschwanstein_desc;The Neuschwanstein Castle is a nineteenth-century Romanesque Revival palace on a rugged hill above the village of Hohenschwangau. The palace was commissioned paid out of his personal fortune by Ludwig II of Bavaria, "The Swan King", as a retreat and as a homage to Richard Wagner. The palace was intended as a personal refuge for the reclusive sovereign: it is said that from his bedroom in Hohenschwangau, Ludwig trained a telescope on a ridge to keep an eye on Neuschwanstein as it was being constructed.;;;;;;;;;;;;;;;;;;;;;;;;;x
reform_CSA_title;Form the New Confederacy;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reform_CSA_desc;If the North will not stand for truth and justice, then the South shall rise and take its place!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
join_new_CSA_title;Join the Confederacy;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
join_new_CSA_desc;The people have called on us to unite under the new Confederate banner. Long live the South!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_FSA_title;Form the Free States of America;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_FSA_desc;If the USA will not stand for truth and justice, then the FSA shall rise and take its place!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
join_FSA_title;Join the FSA;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
join_FSA_desc;The people have called on us to unite under the new FSA banner. Long live the Sons of Liberty!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
join_california_title;Join California;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
join_california_desc;The people have called on us to unite under the California banner. Long live the Sons of Liberty!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
join_new_america_title;Join New America;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
join_new_america_desc;The people have called on us to unite under the New America banner. Long live the Sons of Liberty!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
rejoin_usa_title;Rejoin the Union;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
rejoin_usa_desc;With the American government restored to democracy, our people have decided it is time to rejoin the Union. Let the United States be restored to the destiny it was meant for!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
exile_house_of_saud_title;Banish the House of Saud;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
exile_house_of_saud_desc;We are victorious over the House of Saud. We must send them into exile, so that Arabia stands united under a single flag: our own.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
exile_house_of_rashid_title;Banish the House of Rashid;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
exile_house_of_rashid_desc;We are victorious over the House of Rashid. We must send them into exile, so that Arabia stands united under a single flag: our own.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
claim_nejd_title;Claim Nejd;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_nejd_desc;We cannot unite all of Arabia under our banner unless we control the central provinces. The House of Rashid must stand dominant!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_hail_title;Claim Ha'il;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_hail_desc;We cannot unite all of Arabia under our banner unless we control the northern provinces. The House of Saud must stand dominant!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_hedjaz_NEJ_title;Claim Hedjaz;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_hedjaz_NEJ_desc;We must claim the western lands in Hedjaz if we are to unite all of Arabia under our rule!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_hedjaz_HAL_title;Claim Hedjaz;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_hedjaz_HAL_desc;We must claim the western lands in Hedjaz if we are to unite all of Arabia under our rule!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_arabia_HDJ_title;Claim Eastern Arabia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_arabia_HDJ_desc;We must claim the eastern lands in Nejd and Hail if we are to unite all of Arabia under our rule!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_arabia_ASR_title;Claim Northern Arabia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_arabia_ASR_desc;We must claim the rest of the peninsula if we are to unite all of Arabia under our rule!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_arabian_peninsula_title;Claim Greater Arabia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_arabian_peninsula_desc;We must unite all of the Arabian peninsula under our rule, including all of the Trucial States, Oman, and Yemen.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
become_saudi_arabia_title;Become Arabia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_saudi_arabia_desc;We must reunite Nejd and Hedjaz under a single flag!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_saudi_arabia_title;Form Arabia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_saudi_arabia_desc;A united arab nation under our rule will make a strong and stable ally.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
encourage_arab_nationalism_title;Encourage Arab Nationalism;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
encourage_arab_nationalism_desc;The way to truly fight the Ottoman Empire is to dismantle it from within. We must encourage their Arab minorities to rise up and seek their own destiny as independent nations.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ibn_saud_title;Ibn Saud;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ibn_saud_desc;The time has come to unite all of the Arabian peninsula under our rule. Hedjaz must be taken, in order for the Saudi nation to truly stand on its own.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
the_holy_city_title;The Holy City;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_holy_city_desc;Mecca is the center of all Islam. To hold it is to stand above all others, and prove to them that the fate of all Islam lies in our hands.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
hedjaz_independent_title;Declare Independence from Egypt;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
hedjaz_independent_desc;It is clear that Egypt is no longer in a position to rule us. Thus it is time for the Hedjaz to find its own path.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
education_decree_1863_title;Filipino Education Decree;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
education_decree_1863_desc;Through the Education Decree of 1863, Queen Isabella II decreed the establishment of a free public shool system in the Philippines that used Spanish as the language of instruction, leading to an increasing number of educated Filipinos. This would be the first in a number of colonial initiatives that rendered the Philippines as one of the few places in the world where it was said to have visibly improved and prospered under colonial rule.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_1898_title;Treaty of Paris;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_1898_desc;Spain has no choice but to admit it cannot hold onto its Caribbean and Pacific holdings. If we sit down and enter into peace negotiations with the Spanish government, it is possible they might be willing to end this war and turn over their holdings to us… for a price. Some will see this as the beginnings of American colonialism, but to our government this is simply a recognition of the world power that the United States has become.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_1898_victory_title;Treaty of Paris;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_paris_1898_victory_desc;We have been victorious in our war against Spain, and Cuba is now free. The Spanish government should realize it does not have the power to hold onto its North American and Pacific colonies. We should approach them and demand they turn over these colonies to us-- for, while it might indicate to some the beginnings of American colonialism, we feel these colonies are best entrusted to the care of a democratic Western power who has the power to hold them.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
moret_law_title;The Moret Law;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
moret_law_desc;The Moret Law granted freedom to slaves in Puerto Rico born after 1868, slaves who served in the Spanish Army, slaves over 60 years old, and slaves who were owned by the Spanish government. It was the first in a series of reforms that saw slavery ended in Peurto Rico, well before it was ended in other Spanish colonies.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
unite_indonesia_title;Unite Indonesia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_indonesia_desc;We must unite all of the Malay, Javan, Moluccan and Melanesian people of the East Indies under a common banner. Down with the imperialists!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
sarawak_protectorate_title;Establish Protectorate Over Sarawak;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
sarawak_protectorate_desc;The so-called 'White Rajah' dynasty of Sarawak has held close ties with England since its creation, and now the possibility of peacefully establishing a protectorate over this kingdom in the East Indies has arisen.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
sulu_protectorate_title;Establish Protectorate Over Sulu;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
sulu_protectorate_desc;The Sultanate of Sulu has held close ties with Spain for many years, and now the possibility of peacefully establishing a protectorate over this country in the East Indies has arisen.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
annex_lan_na_title;Annex Lan Na;;;;;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,
annex_lan_na_desc;The Kingdom of Lan Na must unite with Siam, for the benefit of both our nations in resisting imperialist control.;;;;;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,
flores_sale_title;Sell Flores to the Dutch;;;;;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,
flores_sale_desc;The Indonesian islands are almost worthless to us, but might be of value to the Dutch East India Company. We should consider selling them for a tidy profit.;;;;;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,
end_of_the_UK_title;The end of the United Kingdom;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_the_UK_desc;With both Scotland and Ireland gone, this Kingdom can't be called 'United' anymore. Long live England!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
claim_mayan_lands_title;Rebuild the Mayan Empire;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_mayan_lands_desc;The time has come for the Mayan people to reclaim what they have lost!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_santa_catarina_title;Claim Santa Catarina;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_santa_catarina_desc;Our fellow rebels in the neighboring province of Santa Catarina must be liberated. The Juliana Republic must be freed from Brazilian rule!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_greater_albania_title;Claim Greater Albania;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_greater_albania_desc;The lands of ethnic Albanians must be reunited with the motherland, no matter where they might live.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
claim_greater_mongolia_title;Claim Greater Mongolia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_greater_mongolia_desc;The lands of ethnic Mongolians must be reunited with the motherland, no matter where they might live.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
claim_tatar_lands_title;Claim Tatar Lands;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
claim_tatar_lands_desc;Now that the Tatars are strong once again, we must reclaim the historical lands of Tartary!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
inherit_ryukyu_title;Inherit Ryukyu;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
inherit_ryukyu_desc;The islands of Ryukyu have always had blood ties to both China and Japan. They must be brought into the fold with the rest of our nation.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ryukyu_is_japanese_title;Ryukyu Is Japanese;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ryukyu_is_japanese_desc;The islands that were once Ryukyu are rightfully Japanese territory. We must establish our claim to them!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_afghanistan_title;Claim Greater Afghanistan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_afghanistan_desc;We are a power to be reckoned with. It is time that we claimed the lands that are part of our heritage!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_nepal_title;Claim Greater Nepal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_nepal_desc;The time has come to revoke the Sugauli Treaty and take back that which was taken from us. Greater Nepal must be restored!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_serbia_title;Claim Greater Serbia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_serbia_desc;Many Serbs live throughout the Balkans. It is our duty to unite all of them under the Serbian flag!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reclaim_croatia_title;Reclaim Croatia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reclaim_croatia_desc;The Croatians renounced their ties to Hungary during the revolution, but now the time has come to reclaim our ancient kingdom's western shores.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
greater_ukraine_title;Claim the Greater Ukraine;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_ukraine_desc;All Ukrainians must rightfully fall under the Ukrainian flag!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_macedonia_title;Claim Greater Macedonia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_macedonia_desc;All Macedonians must rightfully fall under the Macedonian flag!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_with_ukraine_title;Unite with the Ukraine;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_with_ukraine_desc;For the common good of our people, we must set aside our sovereignty and join the greater Ukrainian nation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
become_poland_title;Jeszcze Polska nie Zginela;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_poland_desc;Poland must be reborn! With Warsaw back in our hands, we must take the first step towards uniting all Polish people under a common flag!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
unite_with_poland_title;Unite with Poland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
unite_with_poland_desc;Now that Poland has been reborn, the time has come for Krakow to rejoin the motherland.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
galicia_annex_krakow_title;Unite with Galicia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
krakow_form_galicia_title;Form Galicia-Lodomeria;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
krakow_form_galicia_desc;Now that we have liberated Galicia from foreign tyranny, let us extend to its people the freedoms we ourselves hold dear. Long live free Galicia!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
pbc_in_chaos_title;Chaos in the Confederation;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
pbc_in_chaos_desc;Now the Confederation is desestabilized, we should break free from the southern dominance and show who is the real power in the Andes!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
the_new_pbc_title;The new Confederation;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_new_pbc_desc;Now we are a greater power, we can unite again with our South-Andean brothers and sisters.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_confederation_PEU_title;The end of Peru-Bolivian Confederation;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_confederation_PEU_desc;As Peru is not connected to Bolivia anymore, the Confederacy can be declared extinct.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_confederation_SPU_title;The end of Peru-Bolivian Confederation;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_confederation_SPU_desc;As South Peru is not connected to Bolivia anymore, the Confederacy can be declared extinct.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_confederation_BOL_title;The end of Peru-Bolivian Confederation;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_confederation_BOL_desc;As Bolivia is not connected to Peru anymore, the Confederacy can be declared extinct.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
treaty_of_la_paz_title;Treaty of La Paz;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
treaty_of_la_paz_desc;Our claim to both Peru and Bolivia is now considered legitimate.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
centralizer_act_huayna_capac_title;Acto Centralizador 'Huayna Capac';;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
centralizer_act_huayna_capac_desc;As the central government grows stronger, the Confederation becomes more and more an unitary state. The 'Centralizer Act Huayna Capac' concentrates even more power in the president and creates the United Republic of Peru-Bolivia.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
the_new_pbc_title;The new Confederation;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
the_new_pbc_desc;Now we are a greater power, we can unite again with our South-Andean brothers and sisters.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
reunite_peru_title;Reunite Peru;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
reunite_peru_desc;With the Confederation finally broken, we stand in a position to resume control over South Peru and unite the nation once more.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_angola_title;Organize the Angolan Colony;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_angola_desc;Angola is becoming a true Portuguese colony. We must create the proper colonial structures, so that it stands on par with our European provinces.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
organize_mozambique_title;Organize the Mozambican Colony;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
organize_mozambique_desc;Mozambique is becoming a true Portuguese colony. We must create the proper colonial structures, so that it stands on par with our European provinces.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
treaty_of_simulambuko_desc;With the colonial powers of Europe having met at the Congo Conference to decide the orderly division of the African continent, pressure is mounting for Portugal to occupy the lands we have lain claim to. Our diplomats have been in close contact with the princes of Cabinda, and with additional urging we should be able to conclude a treaty forcing the Kongolese to surrender our Angolan claims.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
treaty_of_simulambuko_title;Treaty of Simulambuko;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
become_uzbekistan_khiva_title;Become Uzbekistan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
